Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
39573579,06/26/2018 08:06:21 PM,06/26/2018 09:01:23 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11238,487 LINCOLN PLACE,LINCOLN PLACE,CLASSON AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/27/2018 04:06:21 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/26/2018 09:01:23 PM,08 BROOKLYN,3011780087,BROOKLYN,995326,184125,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6720504103214,-73.96007167554876,"(40.6720504103214, -73.96007167554876)"
39573580,06/26/2018 07:05:09 AM,06/26/2018 07:30:10 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11378,54-64 63 PLACE,63 PLACE,53 DRIVE,54 AVENUE,,,ADDRESS,MASPETH,,Precinct,Closed,06/26/2018 03:05:09 PM,The Police Department responded to the complaint and took action to fix the condition.,06/26/2018 07:30:10 AM,05 QUEENS,4023680055,QUEENS,1011356,204439,ONLINE,Unspecified,QUEENS,,,,,,,,40.727772989163455,-73.90220275020906,"(40.727772989163455, -73.90220275020906)"
39573581,06/26/2018 09:53:25 AM,06/26/2018 02:10:48 PM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11221,366A MONROE STREET,MONROE STREET,TOMPKINS AVENUE,THROOP AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2018 05:53:25 PM,The Police Department issued a summons in response to the complaint.,06/26/2018 02:10:48 PM,03 BROOKLYN,3018200012,BROOKLYN,999859,189301,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68625052310118,-73.94371849410597,"(40.68625052310118, -73.94371849410597)"
39573582,06/26/2018 02:03:22 PM,06/26/2018 03:09:52 PM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11106,13-05 34 AVENUE,34 AVENUE,13 STREET,14 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,06/26/2018 10:03:22 PM,The Police Department responded to the complaint and took action to fix the condition.,06/26/2018 03:09:52 PM,01 QUEENS,4005210017,QUEENS,1001919,217587,ONLINE,Unspecified,QUEENS,,,,,,,,40.76388482733177,-73.93621647248558,"(40.76388482733177, -73.93621647248558)"
39573587,06/26/2018 09:59:36 AM,06/26/2018 10:14:52 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10304,21 IMPERIAL COURT,IMPERIAL COURT,BEND,BEND,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,06/26/2018 05:59:36 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/26/2018 10:14:52 AM,01 STATEN ISLAND,5029220042,STATEN ISLAND,962093,163654,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61584114851179,-74.07980742285405,"(40.61584114851179, -74.07980742285405)"
42031490,03/23/2019 09:48:54 PM,03/23/2019 10:25:03 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10462,2011 HOLLAND AVENUE,HOLLAND AVENUE,ANTIN PLACE,BRADY AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,03/24/2019 05:48:54 AM,The Police Department responded to the complaint and took action to fix the condition.,03/23/2019 10:25:03 PM,11 BRONX,2042850001,BRONX,1021352,249397,ONLINE,Unspecified,BRONX,,,,,,,,40.851134180432396,-73.86588933611803,"(40.851134180432396, -73.86588933611803)"
42031491,03/23/2019 02:35:18 AM,03/23/2019 04:40:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11368,108-40 CORONA AVENUE,CORONA AVENUE,53 AVENUE,MARTENSE AVENUE,,,ADDRESS,CORONA,,Precinct,Closed,03/23/2019 10:35:18 AM,The Police Department responded to the complaint and took action to fix the condition.,03/23/2019 04:40:33 AM,04 QUEENS,4019440205,QUEENS,1024661,209837,PHONE,Unspecified,QUEENS,,,,,,,,40.74253837005861,-73.85416654888883,"(40.74253837005861, -73.85416654888883)"
42031492,03/23/2019 11:00:25 AM,06/06/2019 12:03:19 PM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,11225,402 EASTERN PARKWAY,EASTERN PARKWAY,BEDFORD AVENUE,ROGERS AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,05/18/2019 12:40:47 PM,The Taxi and Limousine Commission was unable to identify the driver or car service company named in your complaint.,06/06/2019 12:03:19 PM,09 BROOKLYN,3012670001,BROOKLYN,996741,183415,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67009973608928,-73.95497200082058,"(40.67009973608928, -73.95497200082058)"
40134213,08/28/2018 08:50:00 AM,08/28/2018 08:50:00 AM,DEP,Department of Environmental Protection,Water System,Fire Hydrant Emergency (FHE),,10031,,,,,WEST 138 STREET,AMSTERDAM AVENUE,INTERSECTION,NEW YORK,,N/A,Open,,,,09 MANHATTAN,,MANHATTAN,997860,238331,PHONE,Unspecified,MANHATTAN,,,,,,,,40.82082868072917,-73.95082706368065,"(40.82082868072917, -73.95082706368065)"
39573604,06/26/2018 04:17:49 PM,07/16/2018 04:43:06 PM,DOF,Personal Exemption Unit,DOF Property - Reduction Issue,Personal SCHE Exemption,"1-, 2- and 3- Family Home",11691,,,,,,,ADDRESS,FAR ROCKAWAY,,N/A,Closed,07/01/2018 04:17:49 PM,See notes.,07/16/2018 04:43:06 PM,14 QUEENS,4157810023,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
28016252,05/10/2014 10:12:00 PM,05/10/2014 11:08:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10013,,,CHURCH ST,WHITE ST,CHURCH STREET,WHITE STREET,INTERSECTION,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,05/10/2014 11:08:00 PM,01 MANHATTAN,,MANHATTAN,982907,201174,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71885278403961,-74.00484483511336,"(40.71885278403961, -74.00484483511336)"
40157428,08/31/2018 07:22:28 AM,10/29/2018 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11230,1204 AVENUE J,AVENUE J,,,,,ADDRESS,BROOKLYN,,N/A,Closed,11/18/2018 10:35:51 AM,The City has removed the graffiti from this property.,01/08/2019 04:51:15 PM,14 BROOKLYN,3067140002,BROOKLYN,994241,166942,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62488809400159,-73.96400848698332,"(40.62488809400159, -73.96400848698332)"
39874147,07/30/2018 05:14:24 PM,08/16/2018 10:51:19 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11212,60 EAST   93 STREET,EAST   93 STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,08/16/2018 10:51:19 AM,17 BROOKLYN,3045950215,BROOKLYN,1004501,180649,PHONE,Unspecified,BROOKLYN,,,,,,,,40.662493333971206,-73.9270067970956,"(40.662493333971206, -73.9270067970956)"
39874145,07/30/2018 08:39:48 PM,08/17/2018 09:57:08 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11217,54 4 AVENUE,4 AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",08/17/2018 09:57:08 AM,02 BROOKLYN,3001980037,BROOKLYN,989993,188108,PHONE,Unspecified,BROOKLYN,,,,,,,,40.682987910871475,-73.9792934297466,"(40.682987910871475, -73.9792934297466)"
41445936,01/04/2019 10:53:59 AM,01/17/2019 09:21:19 PM,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,11233,180 HULL STREET,HULL STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,01/17/2019 09:21:19 PM,16 BROOKLYN,3015400006,BROOKLYN,1009766,186981,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67985963945075,-73.90800554510894,"(40.67985963945075, -73.90800554510894)"
40436155,10/02/2018 06:15:00 PM,10/03/2018 02:15:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10033,714 W 181 ST,W 181 ST,BROADWAY,BENNETT AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and opened fire hydrants to flush water mains in the area.,10/03/2018 02:15:00 PM,Unspecified MANHATTAN,1021760128,MANHATTAN,1001831,249098,PHONE,Unspecified,MANHATTAN,,,,,,,,40.8503739641135,-73.9364516220175,"(40.8503739641135, -73.9364516220175)"
39874146,07/30/2018 10:39:14 AM,08/04/2018 05:12:17 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10472,1053 BOYNTON AVENUE,BOYNTON AVENUE,,,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,08/04/2018 05:12:17 PM,09 BRONX,2037140042,BRONX,1018176,239907,PHONE,Unspecified,BRONX,,,,,,,,40.82509968549533,-73.87741744514163,"(40.82509968549533, -73.87741744514163)"
40436216,10/02/2018 11:26:00 AM,10/12/2018 12:00:00 PM,DSNY,BCC - Queens East,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11426,88-19 COMMONWEALTH BOULEVARD,COMMONWEALTH BOULEVARD,87 DRIVE,88 ROAD,,,ADDRESS,Bellerose,,DSNY Garage,Closed,,The Department of Sanitation picked up the items and determined that the missed collection complaint was not warranted because items were placed out at the wrong location.,10/12/2018 12:00:00 PM,13 QUEENS,4086390001,QUEENS,1062029,204882,PHONE,Unspecified,QUEENS,,,,,,,,40.72868848662032,-73.719372529206,"(40.72868848662032, -73.719372529206)"
42031493,03/23/2019 04:19:55 PM,03/23/2019 06:35:18 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11211,389 MORGAN AVENUE,MORGAN AVENUE,SKILLMAN AVENUE,JACKSON STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/24/2019 12:19:55 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/23/2019 06:35:18 PM,01 BROOKLYN,3028670001,BROOKLYN,1001790,200711,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.71756467467456,-73.93672615569507,"(40.71756467467456, -73.93672615569507)"
42031494,03/23/2019 04:31:26 PM,03/23/2019 11:23:21 PM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10034,ISHAM STREET,ISHAM STREET,,,,,LATLONG,NEW YORK,,Precinct,Closed,03/24/2019 12:31:26 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/23/2019 11:23:21 PM,12 MANHATTAN,,MANHATTAN,1006594,255259,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.86727328419225,-73.91921472730148,"(40.86727328419225, -73.91921472730148)"
42031495,03/23/2019 09:49:05 AM,03/23/2019 02:25:36 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10009,437 EAST 9 STREET,EAST 9 STREET,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,Precinct,Closed,03/23/2019 05:49:05 PM,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,03/23/2019 02:25:36 PM,03 MANHATTAN,1004370034,MANHATTAN,988917,204318,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.72748117378403,-73.98316174743178,"(40.72748117378403, -73.98316174743178)"
39573623,06/26/2018 09:53:25 AM,06/26/2018 10:09:48 AM,DOF,Office of the Taxpayer Advocate,Taxpayer Advocate Inquiry,Property - Other Billing Issue,Caller Address,10018,,,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Office of the Taxpayer Advocate, an independent office within the Department of Finance,  will investigate the issue and contact you within 5 business days.  Please note your Service Request number.  No further information will be available from 311 about your individual report.",,05 MANHATTAN,1008387502,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
39573624,06/26/2018 10:37:53 AM,06/26/2018 11:46:25 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11223,1736 WEST 4 STREET,WEST 4 STREET,QUENTIN ROAD,KINGS HIGHWAY,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2018 06:37:53 PM,The Police Department responded to the complaint and took action to fix the condition.,06/26/2018 11:46:25 AM,11 BROOKLYN,,BROOKLYN,990574,159820,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60534305405437,-73.9772251335203,"(40.60534305405437, -73.9772251335203)"
42031498,03/23/2019 03:05:03 AM,03/23/2019 04:51:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,,,,,WEST  189 STREET,SAINT NICHOLAS AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,03/23/2019 11:05:03 AM,The Police Department responded to the complaint and took action to fix the condition.,03/23/2019 04:51:38 AM,12 MANHATTAN,,MANHATTAN,1003592,250533,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85430892959979,-73.93008216434878,"(40.85430892959979, -73.93008216434878)"
42031496,03/23/2019 03:00:44 PM,03/28/2019 11:42:04 AM,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11225,315 FENIMORE STREET,FENIMORE STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,03/28/2019 11:42:04 AM,09 BROOKLYN,3050390065,BROOKLYN,997574,179227,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6586033916211,-73.95197745000581,"(40.6586033916211, -73.95197745000581)"
40436275,10/01/2018 02:01:26 PM,10/01/2018 02:01:26 PM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10029,331 EAST  111 STREET,EAST  111 STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Buildings reviewed this complaint and referred it to the New York City Housing Authority for further action.,10/01/2018 12:00:00 AM,11 MANHATTAN,1016830018,MANHATTAN,1001166,228311,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.793320842365866,-73.93890773590533,"(40.793320842365866, -73.93890773590533)"
42031502,03/24/2019 12:05:05 AM,03/24/2019 12:16:10 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,60 WEST 14 STREET,WEST 14 STREET,5 AVENUE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,Precinct,Closed,03/24/2019 08:05:05 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/24/2019 12:16:10 AM,02 MANHATTAN,1005770010,MANHATTAN,985506,207704,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73677605478463,-73.99546779615633,"(40.73677605478463, -73.99546779615633)"
42031500,03/23/2019 12:53:00 PM,03/26/2019 12:00:00 AM,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11372,33-13 73 STREET,73 STREET,NORTHERN BOULEVARD,34 AVENUE,,,ADDRESS,Jackson Heights,,N/A,Closed,,,03/26/2019 12:00:00 AM,03 QUEENS,4012460060,QUEENS,1013719,214074,PHONE,Unspecified,QUEENS,,,,,,,,40.75421109049398,-73.89363494812774,"(40.75421109049398, -73.89363494812774)"
42031507,03/23/2019 02:46:00 PM,03/27/2019 12:00:00 AM,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11217,16 SAINT MARKS AVENUE,SAINT MARKS AVENUE,5 AVENUE,6 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,,03/27/2019 12:00:00 AM,06 BROOKLYN,3009350014,BROOKLYN,990703,187224,PHONE,Unspecified,BROOKLYN,,,,,,,,40.680561042834235,-73.97673434868115,"(40.680561042834235, -73.97673434868115)"
42031506,03/23/2019 07:24:00 PM,03/28/2019 12:00:00 AM,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11692,62-20 ELIZABETH ROAD,ELIZABETH ROAD,BEACH 63 STREET,DEAD END,,,ADDRESS,Arverne,,N/A,Closed,,,03/28/2019 12:00:00 AM,14 QUEENS,4160080011,QUEENS,1041952,156443,PHONE,Unspecified,QUEENS,,,,,,,,40.5958882961793,-73.79222478127583,"(40.5958882961793, -73.79222478127583)"
40792885,11/09/2018 11:15:00 AM,11/19/2018 12:00:00 PM,DSNY,BCC - Brooklyn North,Other Enforcement,E14 ASP/Restricted Parking,Sidewalk,11226,235 EAST   32 STREET,EAST   32 STREET,BEVERLEY ROAD,CORTELYOU ROAD,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,11/19/2018 12:00:00 PM,17 BROOKLYN,3049320061,BROOKLYN,998954,174242,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64491847008158,-73.94701450338454,"(40.64491847008158, -73.94701450338454)"
41570214,01/30/2019 04:48:00 PM,02/02/2019 12:00:00 PM,DSNY,BCC - Manhattan,Collection Truck Noise,21 Collection Truck Noise,Sidewalk,10033,770 WEST  181 STREET,WEST  181 STREET,MAGAW PLACE,FT WASHINGTON AVENUE,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,02/02/2019 12:00:00 PM,12 MANHATTAN,1021760104,MANHATTAN,1001439,249245,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85077820731703,-73.93786816998458,"(40.85077820731703, -73.93786816998458)"
42031510,03/23/2019 06:54:58 PM,03/23/2019 07:20:49 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11102,26-13 18 STREET,18 STREET,26 AVENUE,26 ROAD,,,ADDRESS,ASTORIA,,Precinct,Closed,03/24/2019 02:54:58 AM,The Police Department responded to the complaint and took action to fix the condition.,03/23/2019 07:20:49 PM,01 QUEENS,4008860026,QUEENS,1004450,221185,ONLINE,Unspecified,QUEENS,,,,,,,,40.77375497817575,-73.92706897643083,"(40.77375497817575, -73.92706897643083)"
42031514,03/23/2019 07:11:13 PM,03/23/2019 08:12:21 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10031,550 WEST 140 STREET,WEST 140 STREET,HAMILTON PLACE,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,03/24/2019 03:11:13 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/23/2019 08:12:21 PM,09 MANHATTAN,1020710058,MANHATTAN,997599,239063,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.82283821172336,-73.95176860041771,"(40.82283821172336, -73.95176860041771)"
42031508,03/23/2019 12:41:03 PM,03/25/2019 09:15:57 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11229,3178 NOSTRAND AVENUE,NOSTRAND AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",03/25/2019 09:15:57 PM,15 BROOKLYN,3068350012,BROOKLYN,1000057,160286,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.60661028727842,-73.94307255390902,"(40.60661028727842, -73.94307255390902)"
40436721,10/02/2018 05:17:25 AM,10/15/2018 09:55:43 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11226,46 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",10/15/2018 09:55:43 AM,14 BROOKLYN,3050860030,BROOKLYN,996049,176904,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65222942906139,-73.95747794002138,"(40.65222942906139, -73.95747794002138)"
42031513,03/23/2019 11:22:37 AM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Residential Building,10029,218 EAST 115 STREET,EAST 115 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,,,In Progress,,The Department of Health and Mental Hygiene has sent official written notification to the Owner/Land,03/26/2019 08:27:19 PM,11 MANHATTAN,1016620001,MANHATTAN,1000899,229641,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.796971838208954,-73.93986871091569,"(40.796971838208954, -73.93986871091569)"
